u,"U, the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y. See Guide to Pronunciation, Â§Â§ 130-144."
u-shaped,"Having the form of the letter U; specif. (Phys. Geog.),  of valleys, resembling a broad U in cross profile."
uakari,Same as Ouakari.
uberous,Fruitful; copious; abundant; plentiful. [Obs.] Sir T. Herbert.
uberty,Fruitfulness; copiousness; abundance; plenty. [Obs.] Florio.
ubication,The quality or state of being in a place; local relation; position or location; whereness. [R.] Glanvill.
ubiety,The quality or state of being in a place; local relation; position or location; whereness. [R.] Glanvill.
ubiquarian,Ubiquitous. [R.]
ubiquist,"One of a school of Lutheran divines which held that the body of Christ is present everywhere, and especially in the eucharist, in virtue of his omnipresence.  Called also Ubiquitist, Ubiquitary."
ubiquitarian,"One of a school of Lutheran divines which held that the body of Christ is present everywhere, and especially in the eucharist, in virtue of his omnipresence.  Called also Ubiquitist, Ubiquitary."
ubiquitariness,"Quality or state of being ubiquitary, or ubiquitous. [R.] Fuller."
ubiquitary,Ubiquitous. Howell.  1. One who exists everywhere. B. Jonson. 2. (Eccl. Hist.)  A ubiquist. Bp. Hall.
ubiquitist,Same as Ubiquist.
ubiquitous,"Existing or being everywhere, or in all places, at the same time; omnipresent. -- U*biq""ui*tous*ly, adv. In this sense is he ubiquitous. R. D. Hitchcock."
ubiquity,"1. Existence everywhere, or in places, at the same time; omnipresence; as, the ubiquity of God is not disputed by those who admit his existence. The arms of Rome . . . were impeded by . . . the wide spaces to be traversed and the ubiquity of the enemy. C. Merivale. 2. (Theol.)  The doctrine, as formulated by Luther, that Christ's glorified body is omnipresent."
uchees,A tribe of North American Indians belonging to the Creek confederation.
uckewallist,"One of a sect of rigid Anabaptists, which originated in 1637, and whose tenets were essentially the same as those of the Mennonists. In addition, however, they held that Judas and the murderers of Christ were saved. So called from the founder of the sect, Ucke Wallis, a native of Friesland. Eadie."
udal,"In Shetland and Orkney, a freehold; property held by udal, or allodial, right.  Allodial; -- a term used in Finland, Shetland, and Orkney. See Allodial. Burrill.  Vars. of Odal, etc. Obs. exc. in Shetland and the Orkney Islands, where udal designates land held in fee simple without any charter and free of any feudal character."
udalborn,"Vars. of Odal, etc. Obs. exc. in Shetland and the Orkney Islands, where udal designates land held in fee simple without any charter and free of any feudal character."
udaler,"Vars. of Odal, etc. Obs. exc. in Shetland and the Orkney Islands, where udal designates land held in fee simple without any charter and free of any feudal character.  In the Shetland and Orkney Islands, one who holds property by udal, or allodial, right. Sir W. Scott."
udalman,"Vars. of Odal, etc. Obs. exc. in Shetland and the Orkney Islands, where udal designates land held in fee simple without any charter and free of any feudal character.  In the Shetland and Orkney Islands, one who holds property by udal, or allodial, right. Sir W. Scott."
udder,"1. (Anat.)  The glandular organ in which milk is secreted and stored; -- popularly called the bag in cows and other quadrupeds. See Mamma. A lioness, with udders all drawn dry. Shak. 2. One of the breasts of a woman. [R.] Yon Juno of majestic size, With cowlike udders, and with oxlike eyes. Pope."
uddered,Having an udder or udders.
udderless,"1. Destitute or deprived of an udder. 2. Hence, without mother's milk; motherless; as, udderless lambs. [Poetic] Keats."
udometer,A rain gauge.
ugh,"An exclamation expressive of disgust, horror, or recoil. Its utterance is usually accompanied by a shudder."
uglesome,"Ugly. [Obs.] ""Such an uglesome countenance."" Latimer."
uglify,To disfigure; to make ugly. [R.] Mad. D'Arblay.
uglily,In an ugly manner; with deformity.
ugliness,The quality or state of being ugly.
ugly,"1. Offensive to the sight; contrary to beauty; being of disagreeable or loathsome aspect; unsightly; repulsive; deformed. The ugly view of his deformed crimes. Spenser. Like the toad, ugly and venomous. Shak. O, I have passed a miserable night, So full of ugly sights, of ghastly dreams. Shak. 2. Ill-natured; crossgrained; quarrelsome; as, an ugly temper; to feel ugly. [Colloq. U. S.] 3. Unpleasant; disagreeable; likely to cause trouble or loss; as, an ugly rumor; an ugly customer. [Colloq.]  A shade for the face, projecting from the bonnet. [Colloq. Eng.] C. Kingsley.  To make ugly. [R.] Richardson."
ugrian,"A Mongolian race, ancestors of the Finns. [Written also Uigrian.]"
ugsome,"Ugly; offensive; loathsome. [Obs.] -- Ug""some*ness, n. [Obs.] ""The horror and ugsomeness of death."" Latimer."
uhlan,"1. One of a certain description of militia among the Tartars. 2. (Mil.)  One of a kind of light cavalry of Tartaric origin, first introduced into European armies in Poland. They are armed with lances, pistols, and sabers, and are employed chiefly as skirmishers."
uintatherium,An extinct genus of large Eocene ungulates allied to Dinoceras. This name is sometimes used for nearly all the known species of the group. See Dinoceras.
uitlander,A foreigner; an outlander. [South Africa]
ukase,"In Russia, a published proclamation or imperial order, having the force of law."
ulan,See Uhlan.
ularburong,A large East Indian nocturnal tree snake (Dipsas dendrophila). It is not venomous.
