e,"1. f. Quinta letra del abecedario español, que representa el fonema vocálico medio anterior."
ea,"1. interj. U. para denotar alguna resolución de la voluntad, o para animar, estimular o excitar. U. t. repetida."
eagle,"1. m. Dep. En el golf, jugada consistente en embocar la pelota en un hoyo con dos golpes menos de los establecidos en su par."
easonense,"1. adj. donostiarra. Apl. a pers., u. t. c. s."
ebanista,1. m. y f. Persona que tiene por oficio trabajar en ébano y otras maderas finas.
ebanistería,1. f. Taller de ebanista.
ebenácea,"1. adj. Bot. Dicho de un árbol o de un arbusto intertropical: Del grupo de las angiospermas dicotiledóneas, con hojas comúnmente alternas y enteras, flores casi siempre unisexuales, axilares, de cáliz persistente y corola regular, caediza, la mayoría de las veces sedosa por fuera, fruto carnoso, globoso u ovoide en forma de baya, que puede ser comestible, semillas de albumen córneo, y madera generalmente negra en el centro, dura y pesada; p. ej., el ébano. U. t. c. s. f., en pl. como taxón."
ebenáceo,"1. adj. Bot. Dicho de un árbol o de un arbusto intertropical: Del grupo de las angiospermas dicotiledóneas, con hojas comúnmente alternas y enteras, flores casi siempre unisexuales, axilares, de cáliz persistente y corola regular, caediza, la mayoría de las veces sedosa por fuera, fruto carnoso, globoso u ovoide en forma de baya, que puede ser comestible, semillas de albumen córneo, y madera generalmente negra en el centro, dura y pesada; p. ej., el ébano. U. t. c. s. f., en pl. como taxón."
ebionita,"1. adj. Seguidor de una doctrina de los primeros siglos de la cristiandad, que negaba la divinidad de Jesucristo. Apl. a pers., u. t. c. s."
ebonita,"1. f. Material compuesto de goma elástica, azufre y aceite de linaza, negro, muy duro y de uso industrial, especialmente como aislante eléctrico."
eboraria,
eborario,1. adj. De marfil.
ebrancada,1. adj. Heráld. Dicho de un árbol: Que tiene cortadas las ramas.
ebrancado,1. adj. Heráld. Dicho de un árbol: Que tiene cortadas las ramas.
ebria,1. adj. Dicho de una persona: Embriagada por la bebida. U. t. c. s.
ebriedad,1. f. embriaguez.
ebrio,1. adj. Dicho de una persona: Embriagada por la bebida. U. t. c. s.
ebriosa,1. adj. Muy dado al vino y que se embriaga fácilmente. U. t. c. s.
ebrioso,1. adj. Muy dado al vino y que se embriaga fácilmente. U. t. c. s.
ebulición,1. f. p. us. ebullición (‖ hervor).
ebulla,1. intr. bullir.
ebullamos,1. intr. bullir.
ebullan,1. intr. bullir.
ebullas,1. intr. bullir.
ebulle,1. intr. bullir.
ebullen,1. intr. bullir.
ebullendo,1. intr. bullir.
ebullera,1. intr. bullir.
ebullerais,1. intr. bullir.
ebulleran,1. intr. bullir.
ebulleras,1. intr. bullir.
ebullere,1. intr. bullir.
ebullereis,1. intr. bullir.
ebulleren,1. intr. bullir.
ebulleres,1. intr. bullir.
ebulleron,1. intr. bullir.
ebulles,1. intr. bullir.
ebullese,1. intr. bullir.
ebulleseis,1. intr. bullir.
ebullesen,1. intr. bullir.
ebulleses,1. intr. bullir.
ebullición,1. f. hervor (‖ acción de hervir).
ebullid,1. intr. bullir.
ebullido,1. intr. bullir.
ebullimos,1. intr. bullir.
ebullir,1. intr. bullir.
ebulliremos,1. intr. bullir.
ebullirá,1. intr. bullir.
ebullirán,1. intr. bullir.
ebullirás,1. intr. bullir.
ebulliré,1. intr. bullir.
ebulliréis,1. intr. bullir.
ebulliría,1. intr. bullir.
ebulliríais,1. intr. bullir.
ebulliríamos,1. intr. bullir.
ebullirían,1. intr. bullir.
ebullirías,1. intr. bullir.
ebulliste,1. intr. bullir.
ebullisteis,1. intr. bullir.
ebullo,1. intr. bullir.
ebulláis,1. intr. bullir.
ebulléramos,1. intr. bullir.
ebulléremos,1. intr. bullir.
ebullésemos,1. intr. bullir.
ebullí,1. intr. bullir.
ebullía,1. intr. bullir.
ebullíais,1. intr. bullir.
ebullíamos,1. intr. bullir.
ebullían,1. intr. bullir.
ebullías,1. intr. bullir.
ebullís,1. intr. bullir.
ebulló,1. intr. bullir.
ebullómetro,1. m. Fís. Aparato para medir la temperatura a que hierve un líquido.
eburnación,1. f. Med. Aumento morboso de la densidad de un cartílago o un hueso.
eburno,1. m. desus. marfil (‖ materia dura y blanca).
ebúrnea,1. adj. De marfil.
ebúrneo,1. adj. De marfil.
ecarté,"1. m. Juego de naipes entre dos personas, cada una de las cuales toma cinco cartas, que pueden cambiarse por otras, y en el que gana quien obtiene primero cinco tantos."
eccehomo,1. m. Imagen de Jesucristo como lo presentó Pilatos al pueblo.
eccema,"1. m. Afección cutánea caracterizada por vesículas rojizas y exudativas, que dan lugar a costras y escamas."
eccematosa,1. adj. Med. Perteneciente o relativo al eccema.
eccematoso,1. adj. Med. Perteneciente o relativo al eccema.
ecdisis,1. f. Zool. Muda de los artrópodos.
ecdótica,
ecdótico,1. adj. Perteneciente o relativo a la ecdótica.
ecepto,1. conj. desus. excepto2.
eceptuar,1. tr. desus. exceptuar.
echa,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaba,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echabais,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echaban,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echabas,"1. tr. Hacer que algo vaya a parar a alguna parte, dándole impulso. Echar mercancías al mar. Echar basura a la calle."
echacantos,1. m. coloq. desus. Hombre disparatado o sin juicio.
echacorvea,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveaba,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveabais,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveaban,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveabas,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvead,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveado,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveamos,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvean,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveando,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvear,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveara,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearais,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearan,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearas,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveare,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveareis,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearemos,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearen,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveares,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearon,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorveará,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearán,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearás,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearé,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
echacorvearéis,1. intr. coloq. Hacer o tener el ejercicio de echacuervos.
