g,"1. f. Séptima letra del abecedario español, que representa, ante las vocales e, i, el fonema consonántico fricativo velar sordo, p. ej. en gente, y en los demás casos el fonema consonántico velar sonoro, p. ej. en gato."
gabacha,
gabachada,1. f. Acción propia de un gabacho.
gabacho,1. adj. Natural de algún pueblo de las faldas de los Pirineos. U. t. c. s.
gabaonita,"1. adj. Natural de Gabaón, ciudad de Palestina. U. t. c. s."
gabarda,1. f. Hues. Rosal silvestre.
gabardina,1. f. Tela resistente de tejido diagonal.
gabarra,"1. f. Embarcación mayor que la lancha, con árbol y mastelero, y generalmente con cubierta. Suele ir remolcada, y cuando no, se maneja con vela y remo, y se usa en las costas para transportes."
gabarrera,1. m. y f. Cargador o descargador de una gabarra.
gabarrero,1. m. y f. Cargador o descargador de una gabarra.
gabarro,1. m. Nódulo de composición distinta de la masa de la piedra en que se encuentra encerrado.
gabarse,1. prnl. desus. alabarse.
gabasa,1. f. prostituta.
gabata,1. m. y f. And. Cría menor de un año de los ciervos o de las liebres.
gabato,1. m. y f. And. Cría menor de un año de los ciervos o de las liebres.
gabazo,1. m. bagazo.
gabejo,1. m. Haz pequeño de paja o de leña.
gabela,"1. f. Tributo, impuesto o contribución que se paga al Estado."
gabijón,1. m. Ál. y Pal. Haz de paja de centeno después de separado el grano.
gabina,1. f. coloq. And. sombrero de copa.
gabinete,"1. m. Habitación más reducida que la sala, donde se recibe a las personas de confianza."
gabita,1. f. rur. Ast. Yunta de encuarte.
gablete,"1. m. Arq. Remate formado por dos líneas rectas y ápice agudo, que se ponía en los edificios de estilo ojival."
gabonesa,"1. adj. Natural del Gabón, país de África. U. t. c. s."
gabonés,"1. adj. Natural del Gabón, país de África. U. t. c. s."
gabote,1. m. rur. Ar. volante (‖ semiesfera usada en juegos con raqueta).
gabrieles,1. m. pl. coloq. Garbanzos del cocido.
gabuzo,"1. m. León. Vara seca de brezo que, colgada verticalmente y encendida por el extremo inferior, sirve para el alumbrado doméstico."
gabán,1. m. abrigo (‖ prenda de vestir).
gacel,1. m. desus. Macho de la gacela.
gacela,"1. f. Antílope de los de talla mediana que habita en zonas semidesérticas o de sabana de África y el Oriente Próximo, que se caracteriza por su agilidad y gracia corporal y por tener cuernos tanto los machos como las hembras."
gaceta,"1. f. Publicación periódica en la que se dan noticias comerciales, administrativas, literarias o de otra índole."
gacetable,1. adj. desus. Dicho de un proyecto: Preparado para convertirse en disposición gubernativa y publicarse como tal en la gaceta oficial.
gacetera,1. m. y f. Persona que escribe para las gacetas o las vende.
gacetero,1. m. y f. Persona que escribe para las gacetas o las vende.
gacetilla,1. f. Parte de un periódico destinada a la inserción de noticias cortas.
gacetillera,1. m. y f. Persona que redacta gacetillas.
gacetillero,1. m. y f. Persona que redacta gacetillas.
gacetista,1. m. y f. gacetillero (‖ persona que redacta gacetillas).
gacha,1. f. Masa muy blanda casi líquida.
gachapazo,"1. m. Costalada, caída violenta."
gachapero,1. m. And. lodazal.
gachapo,"1. m. Ast. y León. Recipiente, generalmente de cuerno, donde el segador lleva la piedra de afilar la guadaña."
gachasmigas,1. f. pl. Mur. Especie de migas hechas con harina en vez de pan desmenuzado.
gacheta,1. f. engrudo.
gacho,"1. adj. Encorvado, inclinado hacia la tierra."
gachona,"1. adj. coloq. Que tiene gracia, atractivo y dulzura."
gachonada,"1. f. coloq. Gracia, donaire, atractivo."
gachonería,"1. f. coloq. Gracia, donaire, atractivo."
gachumbo,"1. m. R. Dom. Cáscara leñosa y dura de algunos frutos, de la que se hacen vasijas, tazas y otros utensilios."
gachupina,1. m. y f. despect. Español establecido en México o Centroamérica.
gachupín,1. m. y f. despect. Español establecido en México o Centroamérica.
gaché,"1. m. Entre los gitanos, andaluz (‖ natural de Andalucía)."
gachí,"1. f. vulg. Esp. Mujer, especialmente si es joven y hermosa."
gachó,"1. m. vulg. Esp. Hombre, individuo. U. t. en sent. despect."
gachón,"1. adj. coloq. Que tiene gracia, atractivo y dulzura."
gacilla,1. f. C. Rica y Nic. imperdible (‖ alfiler que no se abre fácilmente).
gaditana,"1. adj. Natural de Cádiz, ciudad o provincia de España. U. t. c. s."
gaditano,"1. adj. Natural de Cádiz, ciudad o provincia de España. U. t. c. s."
gadolinio,"1. m. Elemento químico metálico, de núm. atóm. 64, del grupo de los lantánidos, de aspecto similar al acero, muy escaso en la corteza terrestre, usado en la industria nuclear, y, alguno de sus derivados, como catalizador. (Símb. Gd)."
gaetana,"1. adj. Natural de Gaeta, ciudad de Italia. U. t. c. s."
gaetano,"1. adj. Natural de Gaeta, ciudad de Italia. U. t. c. s."
gafa,"1. f. Utensilio para corregir defectos de visión o para proteger la vista, formado por dos lentes encajadas en una montura que se apoya en la nariz y se sujeta a las orejas. U. m. en pl. con el mismo significado que en sing. Gafas graduadas. Gafas de sol. Llevar, usar gafas."
gafar,1. tr. Arrebatar algo con las uñas o con un instrumento corvo.
gafarrón,1. m. rur. Ar. pardillo (‖ ave).
gafe,1. adj. Dicho de una persona: Que trae mala suerte. U. t. c. s.
gafea,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeaba,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeabais,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeaban,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeabas,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafead,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeado,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeamos,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafean,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeando,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafear,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeara,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafearais,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafearan,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafearas,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeare,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeareis,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafearemos,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafearen,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeares,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafearon,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafeará,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
gafearán,1. intr. rur. Nic. Dicho particularmente de una bestia: renquear (‖ andar como renca).
