m,"1. f. Decimotercera letra del abecedario español, que representa el fonema consonántico nasal bilabial."
mable,1. f. Hond. canica (‖ bola).
mabolo,"1. m. Árbol de Filipinas, de la familia de las ebenáceas, que crece hasta diez u once metros de altura, con flores dioicas, unas solitarias axilares y otras terminales en espiga, hojas alternas y fruto muy semejante al melocotón, pero de carne dura y desabrida."
mabí,"1. m. P. Rico y R. Dom. Árbol pequeño de la familia de las ramnáceas, de corteza amarga."
maca,1. f. p. us. Señal que queda en la fruta por algún daño que ha recibido.
macaba,"1. tr. desus. Producir daño con una contusión, sin herida."
macabais,"1. tr. desus. Producir daño con una contusión, sin herida."
macaban,"1. tr. desus. Producir daño con una contusión, sin herida."
macabas,"1. tr. desus. Producir daño con una contusión, sin herida."
macabeo,"1. adj. Natural de Macas, ciudad del Ecuador. U. t. c. s."
macabra,1. adj. Que participa de la fealdad de la muerte y de la repulsión que esta suele causar.
macabro,1. adj. Que participa de la fealdad de la muerte y de la repulsión que esta suele causar.
macabí,"1. m. Cuba. Pez marino comestible, de forma cilíndrica, color plateado, algo más oscuro hacia el lomo y cola ahorquillada."
macaca,1. m. El Salv. y Hond. Moneda macuquina del valor de un peso.
macacada,1. f. Ur. monería.
macachín,"1. m. Arg. y Ur. Planta pequeña de las oxalidáceas que da flores amarillas o violáceas en otoño, de hojas parecidas a las del trébol y tubérculo comestible. Las hojas y las flores se emplean con fines medicinales."
macaco,1. m. El Salv. y Hond. Moneda macuquina del valor de un peso.
macacoa,1. f. P. Rico. p. us. Mala suerte.
macad,"1. tr. desus. Producir daño con una contusión, sin herida."
macadam,
macadamice,1. tr. Pavimentar con macadán.
macadamicemos,1. tr. Pavimentar con macadán.
macadamicen,1. tr. Pavimentar con macadán.
macadamices,1. tr. Pavimentar con macadán.
macadamicé,1. tr. Pavimentar con macadán.
macadamicéis,1. tr. Pavimentar con macadán.
macadamiza,1. tr. Pavimentar con macadán.
macadamizaba,1. tr. Pavimentar con macadán.
macadamizabais,1. tr. Pavimentar con macadán.
macadamizaban,1. tr. Pavimentar con macadán.
macadamizabas,1. tr. Pavimentar con macadán.
macadamizad,1. tr. Pavimentar con macadán.
macadamizado,1. tr. Pavimentar con macadán.
macadamizamos,1. tr. Pavimentar con macadán.
macadamizan,1. tr. Pavimentar con macadán.
macadamizando,1. tr. Pavimentar con macadán.
macadamizar,1. tr. Pavimentar con macadán.
macadamizara,1. tr. Pavimentar con macadán.
macadamizarais,1. tr. Pavimentar con macadán.
macadamizaran,1. tr. Pavimentar con macadán.
macadamizaras,1. tr. Pavimentar con macadán.
macadamizare,1. tr. Pavimentar con macadán.
macadamizareis,1. tr. Pavimentar con macadán.
macadamizaremos,1. tr. Pavimentar con macadán.
macadamizaren,1. tr. Pavimentar con macadán.
macadamizares,1. tr. Pavimentar con macadán.
macadamizaron,1. tr. Pavimentar con macadán.
macadamizará,1. tr. Pavimentar con macadán.
macadamizarán,1. tr. Pavimentar con macadán.
macadamizarás,1. tr. Pavimentar con macadán.
macadamizaré,1. tr. Pavimentar con macadán.
macadamizaréis,1. tr. Pavimentar con macadán.
macadamizaría,1. tr. Pavimentar con macadán.
macadamizaríais,1. tr. Pavimentar con macadán.
macadamizaríamos,1. tr. Pavimentar con macadán.
macadamizarían,1. tr. Pavimentar con macadán.
macadamizarías,1. tr. Pavimentar con macadán.
macadamizas,1. tr. Pavimentar con macadán.
macadamizase,1. tr. Pavimentar con macadán.
macadamizaseis,1. tr. Pavimentar con macadán.
macadamizasen,1. tr. Pavimentar con macadán.
macadamizases,1. tr. Pavimentar con macadán.
macadamizaste,1. tr. Pavimentar con macadán.
macadamizasteis,1. tr. Pavimentar con macadán.
macadamizo,1. tr. Pavimentar con macadán.
macadamizá,1. tr. Pavimentar con macadán.
macadamizábamos,1. tr. Pavimentar con macadán.
macadamizáis,1. tr. Pavimentar con macadán.
macadamizáramos,1. tr. Pavimentar con macadán.
macadamizáremos,1. tr. Pavimentar con macadán.
macadamizás,1. tr. Pavimentar con macadán.
macadamizásemos,1. tr. Pavimentar con macadán.
macadamizó,1. tr. Pavimentar con macadán.
macado,"1. tr. desus. Producir daño con una contusión, sin herida."
macadán,1. m. Pavimento de piedra machacada que una vez tendida se comprime con el rodillo.
macaense,"1. adj. Natural de Macao, ciudad o región del sur de China, antigua posesión portuguesa. U. t. c. s."
macagua,"1. f. Ave rapaz diurna, de unos 80 cm de longitud desde el pico hasta la extremidad de la cola y plumaje de color amarillo parduzco por el dorso y blanco por el pecho y el vientre, que habita en los linderos de los bosques de la América meridional, da gritos penetrantes y se alimenta de cuadrúpedos pequeños y de reptiles."
macagüita,"1. f. Palma espinosa que se cría en Venezuela, de corteza oscura con manchas blanquecinas, y cuyo fruto es semejante a un coco pequeño, casi negro y con pintas como las de la corteza."
macal,1. m. Chile. Terreno poblado de plantas de maqui.
macamos,"1. tr. desus. Producir daño con una contusión, sin herida."
macan,"1. tr. desus. Producir daño con una contusión, sin herida."
macana,"1. f. Bol. y Ec. Especie de chal o manteleta, de algodón fino, propio del vestido de la chola."
macanazo,1. m. Golpe dado con la macana2.
macanche,"1. adj. Sal. Delicado de salud, enfermizo."
macancoa,1. f. And. macacoa.
macando,"1. tr. desus. Producir daño con una contusión, sin herida."
macandón,"1. m. desus. Falso, embustero."
macanea,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneaba,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneabais,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneaban,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneabas,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanead,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneada,1. f. coloq. El Salv. y Hond. paliza (‖ serie de golpes).
macaneado,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneador,"1. m. y f. coloq. Arg., Bol., Par. y Ur. Persona que dice o suele decir macanas (‖ mentiras)."
macaneadora,"1. m. y f. coloq. Arg., Bol., Par. y Ur. Persona que dice o suele decir macanas (‖ mentiras)."
macaneamos,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanean,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneando,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanear,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneara,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearais,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearan,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearas,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneare,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneareis,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearemos,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearen,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneares,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearon,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macaneará,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearán,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearás,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearé,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearéis,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearía,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearíais,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
macanearíamos,"1. tr. Hond., Méx., P. Rico y R. Dom. Golpear con la macana2."
