w,"1. f. Vigesimocuarta letra del abecedario español, que representa el fonema consonántico bilabial sonoro en palabras de origen germánico, como en Wamba, wagneriano, Westfalia, y en topónimos y antropónimos del polaco o el neerlandés, como en Kowalski, Van der Weyden, y una /u/ semiconsonante en los anglicismos, como en washingtoniano o whisky, además de en voces transcritas de otras lenguas, como en wau."
wagneriana,"1. adj. Perteneciente o relativo a Richard Wagner, músico alemán, o a su obra."
wagneriano,"1. adj. Perteneciente o relativo a Richard Wagner, músico alemán, o a su obra."
wahabismo,1. m. Movimiento musulmán integrista que defiende una vuelta radical a la pureza del islam de los orígenes y se opone a todo tipo de innovaciones.
wahabita,1. adj. Perteneciente o relativo al wahabismo.
wahabí,"1. adj. wahabita. Apl. a pers., u. t. c. s."
walkie-talkie,1. m. Transmisor y receptor portátil de radio que sirve para comunicaciones de corta distancia.
walkman,1. m. Reproductor portátil de casetes provisto de auriculares.
wantán,"1. m. Chile, Ec., El Salv., Guat., Nic. y Perú. Empanada rellena de carne sazonada, típica de la cocina oriental."
washingtoniana,"1. adj. Natural de Washington, capital de los Estados Unidos de América. U. t. c. s."
washingtoniano,"1. adj. Natural de Washington, capital de los Estados Unidos de América. U. t. c. s."
waterpolista,1. m. y f. Persona que practica el waterpolo.
waterpolo,"1. m. Dep. Juego practicado en una piscina entre dos equipos de siete jugadores cada uno, que consiste en introducir el balón con la mano en la portería contraria mientras se nada."
watt,1. m. Electr. vatio.
wau,"1. m. o f. Fon. En las descripciones diacrónicas, variante del fonema /u/ cuando forma parte de un diptongo, bien como semiconsonante, como en agua, bien como semivocal, como en fauna."
web,1. f. Inform. Red informática.
weber,"1. m. Fís. Unidad de flujo magnético del sistema internacional, equivalente al flujo magnético que, al atravesar un circuito de una sola espira, produciría en ella una fuerza electromotriz de un voltio si se anulara dicho flujo en un segundo por decrecimiento uniforme. (Símb. Wb)."
webinario,1. m. seminario web.
weimaresa,"1. adj. Natural de Sajonia-Weimar, antiguo ducado de Alemania, o de Weimar, ciudad que fue su capital. U. t. c. s."
weimarés,"1. adj. Natural de Sajonia-Weimar, antiguo ducado de Alemania, o de Weimar, ciudad que fue su capital. U. t. c. s."
wellingtonia,1. f. velintonia.
westfaliana,"1. adj. Natural de Westfalia, región histórica de Alemania. U. t. c. s."
westfaliano,"1. adj. Natural de Westfalia, región histórica de Alemania. U. t. c. s."
whiskería,1. f. güisquería.
whisky,1. m. güisqui.
wi fi,
wifi,"1. m. Inform. Sistema de conexión inalámbrica, dentro de un área determinada, entre dispositivos electrónicos, y frecuentemente para acceso a internet. U. t. en apos., y t. c. f."
wikipediana,1. adj. wikipedista. Conoce muy bien el lenguaje wikipediano.
wikipediano,1. adj. wikipedista. Conoce muy bien el lenguaje wikipediano.
wikipedista,"1. adj. Perteneciente o relativo a los wikipedistas o a la Wikipedia, una enciclopedia en internet. Es una información wikipedista."
wincha,1. f. Bol. vincha.
wind surf,
wind surfing,
windsurf,1. m. Deporte que consiste en deslizarse por el agua sobre una tabla especial provista de una vela.
windsurfing,1. m. Deporte que consiste en deslizarse por el agua sobre una tabla especial provista de una vela.
windsurfista,1. m. y f. Persona que practica el windsurf.
wok,"1. m. Sartén ancha y profunda, generalmente con una o dos asas, originaria de la cocina oriental y que se usa para saltear."
wolframio,"1. m. Elemento químico metálico, de núm. atóm. 74, de color gris acerado, muy duro y denso, escaso en la corteza terrestre, con el punto de fusión más elevado de todos los elementos y usado en los filamentos de las lámparas incandescentes, en resistencias eléctricas y, aleado con el acero, en la fabricación de herramientas. (Símb. W)."
wélter,
wéstern,1. m. Género de películas del lejano Oeste.
wólfram,1. m. tungsteno.
